duration,shoulder_joint,upperarm_joint,lowerarm_joint,end_effector_joint
0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0
2.0,-0.75,0.0,0.0,1.0
2.0,-0.75,-0.8,0.2,1.0
2.0,-0.75,-0.8,0.2,2.5
2.0,-0.75,0.0,0.0,2.5
4.0,1.5,0.0,0.0,2.5
2.0,1.5,-0.7,0.7,2.5
2.0,1.5,-0.7,0.7,1.0
2.0,1.5,0.0,0.0,1.0
2.0,0.0,0.0,0.0,1.0
